"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
80,https://handycrab.wpenginepowered.com/product-category/product-shrimp/,Shrimp,product-shrimp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",0,,,0,,,,,,,,,
113,https://handycrab.wpenginepowered.com/product-category/crab/,Crab,crab,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",0,,,0,,,,,,,,,
114,https://handycrab.wpenginepowered.com/product-category/appetizers/,Appetizers,appetizers,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",0,,,0,,,,,,,,,
115,https://handycrab.wpenginepowered.com/product-category/dietary-alternatives/,"Dietary Alternatives",dietary-alternatives,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",0,,,0,,,,,,,,,
116,https://handycrab.wpenginepowered.com/product-category/crab-cakes/,"Crab Cakes",crab-cakes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",113,Crab,crab,0,,,,,,,,,
117,https://handycrab.wpenginepowered.com/product-category/crab-meat/,"Crab Meat",crab-meat,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",113,Crab,crab,0,,,,,,,,,
118,https://handycrab.wpenginepowered.com/product-category/soft-shell-crab/,"Soft Shell Crab",soft-shell-crab,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",113,Crab,crab,0,,,,,,,,,
119,https://handycrab.wpenginepowered.com/product-category/crab-cake-minis/,"Crab Cake Minis",crab-cake-minis,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",114,Appetizers,appetizers,0,,,,,,,,,
120,https://handycrab.wpenginepowered.com/product-category/specialty/,Specialty,specialty,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",114,Appetizers,appetizers,0,,,,,,,,,
121,https://handycrab.wpenginepowered.com/product-category/soft-crab/,"Soft Crab",soft-crab,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",114,Appetizers,appetizers,0,,,,,,,,,
122,https://handycrab.wpenginepowered.com/product-category/shrimp/,Shrimp,shrimp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",114,Appetizers,appetizers,0,,,,,,,,,
123,https://handycrab.wpenginepowered.com/product-category/gluten-free/,"Gluten Free",gluten-free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",115,"Dietary Alternatives",dietary-alternatives,0,,,,,,,,,
124,https://handycrab.wpenginepowered.com/product-category/keto-friendly/,"Keto Friendly",keto-friendly,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",115,"Dietary Alternatives",dietary-alternatives,0,,,,,,,,,
125,https://handycrab.wpenginepowered.com/product-category/plant-based/,"Plant Based",plant-based,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, u fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",115,"Dietary Alternatives",dietary-alternatives,0,,,,,,,,,
